ward,AUSPICE,bldg_type,cwelcc_flag,TOTSPACE,subsidy
13,Non Profit Agency,Community/Rec Centre - City,1,62,1
22,Non Profit Agency,Hospital/Health Centre,1,62,1
20,Commercial Agency,High Rise Apartment,1,100,1
15,Commercial Agency,House,1,41,0
21,Commercial Agency,Other,1,36,1
18,Commercial Agency,Office Building,1,65,0
14,Commercial Agency,Commercial Building,1,15,0
2,Non Profit Agency,Other,1,105,1
19,Non Profit Agency,Public Elementary School,1,158,1
25,Commercial Agency,Place of Worship,0,51,0
18,Commercial Agency,Purpose Built,1,62,0
22,Non Profit Agency,Catholic Elementary School,1,77,1
9,Non Profit Agency,Public Elementary School,1,123,1
9,Non Profit Agency,Public Elementary School,1,131,1
14,Commercial Agency,Church,1,66,0
5,Non Profit Agency,Catholic Elementary School,0,45,0
2,Non Profit Agency,Catholic Elementary School,1,43,1
13,Non Profit Agency,Other,1,56,1
5,Commercial Agency,Place of Worship,0,35,0
23,Non Profit Agency,Catholic Elementary School,1,90,1
1,Non Profit Agency,Low Rise Apartment,1,62,1
23,Non Profit Agency,Public Elementary School,1,110,1
22,Other,Public Elementary School,1,62,1
22,Non Profit Agency,Catholic Elementary School,1,72,1
7,Other,Public Elementary School,1,24,1
5,Non Profit Agency,Catholic Elementary School,1,125,1
16,Non Profit Agency,Catholic Elementary School,1,163,1
14,Non Profit Agency,Public Elementary School,1,85,1
9,Non Profit Agency,Public Elementary School,1,103,1
22,Non Profit Agency,Public Elementary School,1,90,1
22,Non Profit Agency,Catholic Elementary School,1,41,1
1,Non Profit Agency,Catholic Elementary School,1,82,1
20,Non Profit Agency,Catholic Elementary School,1,56,1
7,Non Profit Agency,Catholic Elementary School,1,82,1
6,Non Profit Agency,Catholic Elementary School,1,97,1
14,Non Profit Agency,Catholic Elementary School,1,51,1
3,Non Profit Agency,Catholic Elementary School,1,111,1
24,Non Profit Agency,Catholic Elementary School,1,143,1
18,Non Profit Agency,Catholic Elementary School,1,72,1
13,Non Profit Agency,Catholic Elementary School,1,52,1
7,Non Profit Agency,Catholic Elementary School,1,79,1
24,Non Profit Agency,Catholic Elementary School,1,112,1
23,Non Profit Agency,Catholic Elementary School,1,39,1
18,Commercial Agency,Community/Recreation Centre,1,63,0
19,Non Profit Agency,Purpose Built,1,62,1
20,Non Profit Agency,High Rise Apartment,1,26,1
10,Non Profit Agency,Other,1,64,1
23,Non Profit Agency,Catholic Elementary School,1,31,1
1,Non Profit Agency,Catholic Elementary School,1,69,1
10,Commercial Agency,Other,1,50,0
15,Non Profit Agency,Community/Rec Centre - City,1,52,1
23,Non Profit Agency,Catholic Elementary School,1,49,1
13,Non Profit Agency,Public Elementary School,1,106,1
22,Non Profit Agency,Catholic Elementary School,1,82,1
10,Commercial Agency,High Rise Apartment,1,80,0
17,Commercial Agency,Commercial Building,1,64,0
17,Commercial Agency,Office Building,1,98,0
7,Non Profit Agency,High Rise Apartment,1,35,0
4,Commercial Agency,Place of Worship,0,64,0
6,Commercial Agency,Commercial Building,1,18,0
11,Non Profit Agency,Catholic Elementary School,1,56,1
19,Non Profit Agency,Public Elementary School,1,157,1
4,Non Profit Agency,House,1,67,1
15,Commercial Agency,Other,0,62,0
12,Commercial Agency,House,0,25,0
10,Non Profit Agency,High Rise Apartment,1,52,1
23,Commercial Agency,Community/Recreation Centre,1,76,0
12,Non Profit Agency,Community/Recreation Centre,1,132,0
3,Commercial Agency,Office Building,1,74,0
8,Commercial Agency,Other,1,48,0
23,Non Profit Agency,Public Elementary School,1,100,1
4,Non Profit Agency,Other,1,57,1
10,Non Profit Agency,Other,1,65,1
3,Non Profit Agency,Catholic Elementary School,1,71,1
16,Commercial Agency,Office Building,1,92,0
16,Commercial Agency,Church,1,16,0
17,Non Profit Agency,Catholic Elementary School,1,95,0
19,Commercial Agency,Office Building,1,29,0
22,Commercial Agency,Industrial Building,0,45,0
14,Commercial Agency,Private Elementary School,0,48,0
15,Non Profit Agency,Public Elementary School,1,81,1
10,Non Profit Agency,High Rise Apartment,1,49,1
3,Commercial Agency,Commercial Building,1,109,0
4,Commercial Agency,House,1,35,0
24,Non Profit Agency,Other,1,56,1
4,Commercial Agency,Place of Worship,1,70,0
15,Non Profit Agency,Catholic Elementary School,1,142,1
14,Non Profit Agency,Other,1,248,1
15,Commercial Agency,Other,1,36,0
12,Non Profit Agency,Public (school closed),1,22,0
5,Non Profit Agency,Other,1,69,1
25,Commercial Agency,Other,1,57,1
9,Non Profit Agency,Public Elementary School,1,112,1
1,Non Profit Agency,Catholic Elementary School,1,76,1
4,Non Profit Agency,Catholic Elementary School,1,58,1
15,Non Profit Agency,Catholic Elementary School,1,55,1
19,Non Profit Agency,Public Elementary School,1,84,1
11,Commercial Agency,House,0,73,0
19,Non Profit Agency,Place of Worship,1,47,0
15,Commercial Agency,Other,1,61,0
16,Commercial Agency,Place of Worship,0,58,0
8,Commercial Agency,Purpose Built,1,36,0
4,Commercial Agency,Commercial Building,0,130,0
23,Non Profit Agency,Catholic Elementary School,1,68,0
15,Commercial Agency,Place of Worship,0,32,0
4,Non Profit Agency,Public Elementary School,1,95,1
2,Commercial Agency,Place of Worship,0,93,0
4,Commercial Agency,Place of Worship,1,59,0
3,Commercial Agency,Purpose Built,1,31,0
6,Non Profit Agency,Other,1,242,1
13,Other,Other,1,62,1
20,Commercial Agency,Other,1,46,0
4,Commercial Agency,Other,1,52,0
10,Commercial Agency,Other,1,97,0
2,Non Profit Agency,Catholic Elementary School,1,43,1
2,Commercial Agency,Commercial Building,1,86,0
19,Non Profit Agency,Public Elementary School,1,151,1
1,Non Profit Agency,Public Elementary School,1,34,1
10,Non Profit Agency,Public Elementary School,1,65,0
1,Non Profit Agency,Community/Recreation Centre,0,13,0
19,Commercial Agency,Other,0,57,0
11,Commercial Agency,Place of Worship,1,68,0
22,Non Profit Agency,Community/Recreation Centre,1,46,1
12,Commercial Agency,Other,1,49,0
25,Commercial Agency,Other,1,85,0
12,Commercial Agency,Other,1,150,0
15,Commercial Agency,Other,1,98,0
22,Commercial Agency,Church,1,42,0
4,Commercial Agency,Place of Worship,1,104,0
20,Commercial Agency,Other,1,55,0
4,Commercial Agency,Church,0,73,0
4,Commercial Agency,Other,0,16,0
11,Commercial Agency,Other,1,56,0
18,Non Profit Agency,Church,1,144,0
14,Commercial Agency,Other,1,82,0
21,Non Profit Agency,Catholic Elementary School,1,56,1
9,Non Profit Agency,Public Elementary School,1,101,1
14,Non Profit Agency,Catholic Elementary School,1,86,1
4,Non Profit Agency,Catholic Elementary School,1,25,1
18,Commercial Agency,Place of Worship,1,35,0
9,Non Profit Agency,Other,1,197,1
8,Commercial Agency,Other,0,63,0
22,Commercial Agency,Other,0,49,0
13,Non Profit Agency,Public Elementary School,1,179,1
16,Non Profit Agency,Church,1,57,1
14,Commercial Agency,Place of Worship,0,55,0
10,Commercial Agency,Other,1,62,0
10,Non Profit Agency,Other,1,96,0
2,Non Profit Agency,Catholic Elementary School,1,30,1
9,Commercial Agency,Other,0,70,0
20,Other,Low Rise Apartment,1,54,1
3,Commercial Agency,Office Building,1,90,0
4,Commercial Agency,Office Building,0,36,0
7,Non Profit Agency,Catholic Elementary School,1,56,1
3,Non Profit Agency,Public Elementary School,1,56,1
17,Non Profit Agency,Catholic Elementary School,1,71,1
24,Non Profit Agency,Public Elementary School,1,43,1
20,Non Profit Agency,Public Elementary School,1,56,1
23,Non Profit Agency,Public Elementary School,1,71,1
15,Non Profit Agency,Public Elementary School,1,148,1
2,Non Profit Agency,Public Elementary School,1,129,1
2,Non Profit Agency,Catholic Elementary (French),1,131,1
19,Non Profit Agency,Other,1,39,1
22,Commercial Agency,Place of Worship,1,49,0
8,Non Profit Agency,Church,1,96,0
1,Non Profit Agency,Other,1,82,1
5,Non Profit Agency,Catholic Elementary School,1,86,1
19,Commercial Agency,Other,1,111,0
14,Commercial Agency,Other,0,39,0
4,Commercial Agency,House,1,33,0
3,Commercial Agency,Industrial Building,1,59,0
17,Commercial Agency,Other,1,89,0
7,Other,High Rise Apartment,1,36,1
19,Commercial Agency,Other,0,54,0
9,Non Profit Agency,Public Elementary School,1,105,1
2,Non Profit Agency,Catholic Elementary School,1,59,1
9,Non Profit Agency,Public Elementary School,1,192,1
9,Non Profit Agency,Public Elementary School,1,153,1
5,Non Profit Agency,Catholic Elementary School,1,80,1
18,Non Profit Agency,Catholic Elementary School,1,56,1
4,Non Profit Agency,Public Elementary School,1,142,1
17,Non Profit Agency,Public Elementary School,1,99,1
20,Non Profit Agency,Catholic Elementary School,1,58,1
1,Non Profit Agency,Public Elementary School,1,43,1
3,Non Profit Agency,Public Middle School,1,43,1
25,Non Profit Agency,Catholic Elementary School,1,39,1
4,Non Profit Agency,Public Elementary School,1,149,1
7,Non Profit Agency,Public Elementary School,1,71,1
7,Non Profit Agency,Public Elementary School,1,56,1
19,Non Profit Agency,Public Elementary School,1,172,1
24,Non Profit Agency,Public Elementary School,1,56,1
14,Non Profit Agency,Catholic Elementary (French),1,128,1
5,Non Profit Agency,Other,1,105,1
16,Non Profit Agency,Other,1,151,1
25,Commercial Agency,Other,0,24,0
14,Commercial Agency,Other,1,31,0
3,Commercial Agency,Purpose Built,0,120,1
11,Non Profit Agency,Other,0,57,0
4,Commercial Agency,Commercial Building,1,24,0
4,Commercial Agency,Commercial Building,1,16,0
15,Commercial Agency,Other,1,107,0
14,Commercial Agency,Other,1,43,0
14,Commercial Agency,Other,1,117,0
15,Commercial Agency,Other,1,77,0
15,Commercial Agency,House,1,11,0
2,Commercial Agency,Office Building,1,161,0
17,Non Profit Agency,Community/Rec Centre - City,1,80,1
15,Commercial Agency,Community/Recreation Centre,0,29,0
16,Commercial Agency,Office Building,1,41,0
13,Commercial Agency,Other,1,64,0
20,Non Profit Agency,Public Elementary School,1,56,1
22,Non Profit Agency,Public Elementary School,1,43,1
22,Non Profit Agency,Public Elementary School,1,56,1
20,Non Profit Agency,Public Elementary School,1,86,1
25,Non Profit Agency,Public Elementary School,1,43,1
23,Non Profit Agency,Public Elementary School,1,56,1
22,Non Profit Agency,Public Elementary School,1,28,1
22,Non Profit Agency,Public Elementary School,1,43,1
15,Non Profit Agency,Public Elementary School,1,58,1
11,Non Profit Agency,Church,1,39,1
12,Commercial Agency,Other,1,80,0
3,Commercial Agency,Commercial Building,0,74,0
8,Non Profit Agency,Synagogue,1,142,0
12,Non Profit Agency,Other,1,119,0
24,Non Profit Agency,Other,1,32,0
14,Commercial Agency,Other,1,55,0
11,Non Profit Agency,Other,0,20,0
12,Non Profit Agency,Other,1,45,0
5,Non Profit Agency,Catholic Elementary School,1,97,1
11,Commercial Agency,Other,0,109,0
12,Non Profit Agency,Other,1,27,0
4,Commercial Agency,House,0,112,0
16,Non Profit Agency,Other,0,78,0
3,Commercial Agency,Other,0,76,0
8,Commercial Agency,Other,1,102,0
8,Commercial Agency,Other,1,109,0
15,Non Profit Agency,Private Elementary School,0,50,0
15,Non Profit Agency,Private Elementary School,0,30,0
16,Commercial Agency,Other,0,47,0
8,Non Profit Agency,Place of Worship,1,79,0
18,Non Profit Agency,Other,0,110,0
8,Non Profit Agency,Other,1,97,0
15,Commercial Agency,Other,1,73,0
17,Non Profit Agency,Other,1,74,0
8,Non Profit Agency,Other,1,144,0
17,Commercial Agency,Church,1,46,0
8,Non Profit Agency,Private Elementary School,1,76,0
16,Non Profit Agency,Other,0,24,0
17,Commercial Agency,Other,1,68,0
16,Non Profit Agency,Private Elementary School,0,13,0
14,Commercial Agency,Other,1,49,0
13,Commercial Agency,Other,0,35,0
21,Commercial Agency,Private Elementary School,1,93,0
23,Non Profit Agency,Catholic Elementary School,1,56,1
21,Non Profit Agency,Public Elementary School,1,43,1
13,Non Profit Agency,Public Elementary School,1,56,1
21,Non Profit Agency,Public (school closed),1,36,1
20,Non Profit Agency,Catholic Elementary School,1,86,1
19,Commercial Agency,Other,0,47,0
25,Non Profit Agency,Other,1,103,1
21,Non Profit Agency,Catholic Elementary School,1,56,1
6,Non Profit Agency,Catholic Elementary School,1,43,1
9,Non Profit Agency,Public High School,1,32,1
3,Commercial Agency,Other,1,26,0
3,Commercial Agency,Other,1,32,0
9,Commercial Agency,Other,1,85,0
18,Commercial Agency,Church,1,74,0
5,Non Profit Agency,High Rise Apartment,1,62,1
8,Non Profit Agency,Purpose Built,1,62,1
16,Non Profit Agency,Other,0,14,0
15,Commercial Agency,Other,1,57,0
14,Commercial Agency,Other,1,162,0
12,Non Profit Agency,Other,1,48,0
19,Commercial Agency,Other,1,26,0
19,Commercial Agency,Other,1,71,0
10,Commercial Agency,Church,1,37,0
8,Commercial Agency,Other,0,88,0
25,Non Profit Agency,Public Elementary School,1,26,1
25,Non Profit Agency,Public Elementary School,1,26,1
25,Non Profit Agency,Public Elementary School,1,26,1
1,Non Profit Agency,Public Elementary School,1,56,1
20,Non Profit Agency,Public Elementary School,1,56,1
3,Non Profit Agency,Public Elementary School,1,71,1
3,Non Profit Agency,Catholic Elementary School,1,56,1
1,Non Profit Agency,Public Elementary School,1,43,1
6,Non Profit Agency,Public Elementary School,1,43,1
15,Non Profit Agency,Public Elementary School,1,43,1
17,Non Profit Agency,Public Elementary School,1,30,1
8,Non Profit Agency,Catholic Elementary School,1,58,1
21,Non Profit Agency,Public Elementary School,1,30,1
20,Non Profit Agency,Public Elementary School,1,56,1
20,Non Profit Agency,Catholic Elementary School,1,86,1
9,Non Profit Agency,Public Elementary School,1,71,1
22,Non Profit Agency,Public Elementary School,1,56,1
3,Non Profit Agency,Public Elementary School,1,40,1
3,Non Profit Agency,Public Elementary School,1,28,1
21,Non Profit Agency,Public Elementary School,1,30,1
22,Non Profit Agency,Public Elementary School,1,71,1
18,Commercial Agency,Other,1,102,0
19,Commercial Agency,Other,0,54,0
14,Commercial Agency,Other,1,63,0
12,Commercial Agency,Other,1,25,0
20,Commercial Agency,Other,1,30,0
3,Non Profit Agency,Other,1,136,1
14,Commercial Agency,Other,0,31,0
9,Commercial Agency,Other,1,46,0
19,Commercial Agency,Other,1,33,0
20,Commercial Agency,Commercial Building,0,26,0
3,Non Profit Agency,Catholic Elementary School,1,114,1
18,Commercial Agency,Other,0,64,0
22,Commercial Agency,Place of Worship,1,59,0
8,Commercial Agency,Other,0,140,0
19,Commercial Agency,Other,1,215,0
22,Non Profit Agency,Public Elementary School,1,28,1
24,Non Profit Agency,Catholic Elementary School,1,56,1
25,Non Profit Agency,Catholic Elementary School,1,135,1
21,Non Profit Agency,Catholic Elementary School,1,71,1
16,Non Profit Agency,Catholic Elementary School,1,43,1
17,Non Profit Agency,Public Elementary School,1,43,1
21,Non Profit Agency,Catholic Elementary School,1,15,1
9,Non Profit Agency,Public Elementary School,1,28,1
18,Non Profit Agency,Other,1,72,1
2,Commercial Agency,Other,1,78,0
4,Commercial Agency,Other,1,120,0
15,Commercial Agency,Other,0,51,0
20,Commercial Agency,Other,0,28,0
11,Commercial Agency,Other,1,50,0
8,Commercial Agency,Church,1,47,0
6,Non Profit Agency,Other,1,49,1
1,Non Profit Agency,Catholic Elementary School,1,64,1
1,Non Profit Agency,Catholic Elementary School,1,49,1
7,Non Profit Agency,Other,1,105,1
24,Non Profit Agency,Other,1,52,0
15,Commercial Agency,Other,0,16,0
21,Non Profit Agency,Community Health Centre,1,49,1
5,Non Profit Agency,Catholic Elementary School,1,135,1
3,Commercial Agency,Other,1,110,0
14,Commercial Agency,Other,0,88,0
21,Commercial Agency,Commercial Building,1,36,0
8,Commercial Agency,Place of Worship,1,24,0
16,Commercial Agency,Other,1,114,0
18,Non Profit Agency,Other,1,62,1
5,Commercial Agency,Other,1,82,0
10,Non Profit Agency,Other,1,52,1
10,Non Profit Agency,Public Elementary School,1,280,1
13,Non Profit Agency,Catholic Elementary School,1,132,1
12,Non Profit Agency,Other,0,16,0
10,Commercial Agency,Other,1,74,0
11,Non Profit Agency,Other,1,88,1
10,Commercial Agency,Other,0,37,0
10,Commercial Agency,Other,1,107,0
3,Non Profit Agency,Catholic Elementary School,1,58,1
8,Non Profit Agency,Catholic Elementary School,1,43,1
7,Non Profit Agency,Catholic Elementary School,1,58,1
8,Non Profit Agency,Catholic Elementary School,1,71,1
7,Non Profit Agency,Catholic Elementary School,1,56,1
23,Commercial Agency,Other,0,58,0
18,Non Profit Agency,Other,1,72,1
12,Commercial Agency,Other,0,41,0
13,Commercial Agency,Other,1,48,0
8,Commercial Agency,Place of Worship,1,72,0
23,Commercial Agency,Commercial Building,1,34,0
12,Non Profit Agency,Other,1,52,1
4,Commercial Agency,Other,0,76,0
23,Commercial Agency,Commercial Building,1,58,0
21,Commercial Agency,Commercial Building,1,26,0
19,Commercial Agency,Other,0,28,0
17,Commercial Agency,Other,1,58,0
15,Non Profit Agency,Synagogue,1,49,0
17,Commercial Agency,Other,0,32,0
22,Non Profit Agency,Other,1,62,1
15,Commercial Agency,Other,0,25,0
13,Commercial Agency,Other,1,86,0
15,Commercial Agency,Other,1,17,0
19,Commercial Agency,Other,1,20,0
19,Non Profit Agency,Other,1,67,1
11,Non Profit Agency,Place of Worship,1,24,0
2,Commercial Agency,Other,0,41,0
12,Commercial Agency,Synagogue,1,88,0
3,Commercial Agency,Other,1,119,0
6,Non Profit Agency,Other,1,70,0
8,Non Profit Agency,Other,1,49,1
3,Commercial Agency,Other,0,136,0
17,Non Profit Agency,Other,1,56,1
9,Commercial Agency,Commercial Building,1,30,0
25,Non Profit Agency,Other,1,105,1
12,Commercial Agency,Place of Worship,1,39,0
20,Commercial Agency,Other,0,28,0
12,Commercial Agency,House,1,23,0
19,Commercial Agency,Other,1,54,0
5,Commercial Agency,Public Elementary School,1,88,1
4,Non Profit Agency,Other,1,56,1
6,Non Profit Agency,Catholic Elementary School,1,86,1
8,Non Profit Agency,Other,0,32,0
11,Non Profit Agency,Public Elementary Special,1,127,1
19,Commercial Agency,Other,0,31,0
4,Commercial Agency,Other,1,134,0
9,Commercial Agency,Other,1,149,0
21,Commercial Agency,Place of Worship,0,53,0
16,Non Profit Agency,Place of Worship,1,55,0
6,Commercial Agency,Other,1,79,0
8,Commercial Agency,Other,0,94,0
23,Non Profit Agency,Catholic Elementary School,1,87,1
24,Other,High Rise Apartment,1,54,1
20,Commercial Agency,Other,1,40,0
14,Commercial Agency,Other,1,15,0
19,Commercial Agency,Other,1,56,0
19,Commercial Agency,Other,1,48,0
14,Commercial Agency,Other,1,35,0
9,Commercial Agency,Other,1,28,0
8,Commercial Agency,Other,1,83,0
16,Commercial Agency,Other,1,73,0
16,Commercial Agency,Other,1,88,0
8,Non Profit Agency,Other,1,16,0
6,Non Profit Agency,Other,1,49,0
4,Commercial Agency,Other,0,44,1
9,Commercial Agency,Other,0,35,0
10,Non Profit Agency,High Rise Apartment,1,36,1
10,Non Profit Agency,Public High School,1,96,1
22,Commercial Agency,Other,1,20,0
23,Commercial Agency,Other,1,47,0
11,Non Profit Agency,Public Elementary School,1,105,1
15,Commercial Agency,Other,1,26,0
1,Commercial Agency,Other,1,34,0
16,Non Profit Agency,Catholic Elementary School,1,15,1
6,Non Profit Agency,Other,1,96,0
18,Non Profit Agency,Other,1,102,0
11,Non Profit Agency,Community/Recreation Centre,1,34,1
4,Commercial Agency,Private Elementary School,0,127,0
4,Commercial Agency,Other,1,142,0
9,Non Profit Agency,Catholic Elementary School,1,28,1
25,Non Profit Agency,Catholic Elementary School,1,41,1
6,Non Profit Agency,Other,1,65,0
19,Commercial Agency,Other,0,29,0
18,Commercial Agency,Other,1,141,0
14,Commercial Agency,Other,1,38,0
18,Non Profit Agency,Other,1,20,0
7,Non Profit Agency,Public Elementary School,1,90,1
3,Commercial Agency,Other,1,15,0
22,Commercial Agency,Place of Worship,1,18,0
13,Commercial Agency,Other,1,103,0
4,Commercial Agency,Industrial Building,0,15,0
7,Non Profit Agency,Other,1,51,1
19,Commercial Agency,Other,0,65,0
3,Commercial Agency,Other,0,79,0
5,Non Profit Agency,Other,0,16,0
2,Commercial Agency,Other,0,39,0
10,Non Profit Agency,Other,1,62,1
6,Non Profit Agency,Other,1,49,1
24,Non Profit Agency,Public Elementary School,1,56,1
17,Non Profit Agency,Public Elementary School,1,41,1
25,Non Profit Agency,Public Elementary School,1,43,1
5,Non Profit Agency,Other,1,41,1
5,Non Profit Agency,Other,1,56,1
20,Non Profit Agency,Other,1,41,1
20,Non Profit Agency,Public Elementary School,1,56,1
17,Commercial Agency,Other,1,70,0
2,Non Profit Agency,Other,1,56,1
5,Non Profit Agency,Other,1,56,1
9,Non Profit Agency,Catholic Elementary School,1,95,1
23,Non Profit Agency,Catholic Elementary School,1,77,1
25,Non Profit Agency,Place of Worship,1,34,1
18,Commercial Agency,Other,0,46,0
8,Non Profit Agency,Catholic Elementary School,1,15,1
7,Commercial Agency,Other,1,104,0
10,Non Profit Agency,Other,1,49,1
6,Non Profit Agency,Public Elementary School,1,112,1
15,Non Profit Agency,Place of Worship,0,60,0
13,Commercial Agency,Other,1,49,0
8,Non Profit Agency,Catholic Elementary School,1,56,1
14,Commercial Agency,Other,1,154,0
9,Non Profit Agency,Other,1,55,0
18,Non Profit Agency,Church,0,71,0
2,Commercial Agency,Place of Worship,0,24,0
18,Commercial Agency,Place of Worship,0,40,0
4,Commercial Agency,Other,0,18,0
3,Commercial Agency,House,0,36,0
17,Commercial Agency,Other,0,38,0
6,Non Profit Agency,Other,0,74,0
14,Commercial Agency,Other,0,41,0
15,Non Profit Agency,Place of Worship,0,52,0
19,Non Profit Agency,Other,1,44,1
11,Non Profit Agency,Catholic Elementary School,1,56,1
7,Non Profit Agency,Catholic Elementary School,1,43,1
24,Non Profit Agency,Public Elementary School,1,56,1
12,Non Profit Agency,Catholic Elementary School,1,56,1
23,Non Profit Agency,Public Elementary School,1,43,1
2,Non Profit Agency,Place of Worship,0,24,0
25,Non Profit Agency,Catholic Elementary School,1,56,1
17,Non Profit Agency,Public Elementary School,1,28,1
7,Non Profit Agency,Catholic Elementary School,1,28,1
5,Non Profit Agency,Public Elementary School,1,56,1
11,Non Profit Agency,Other,0,95,0
4,Non Profit Agency,House,0,16,0
18,Commercial Agency,Other,0,87,0
13,Commercial Agency,Other,0,44,0
3,Commercial Agency,Other,1,22,0
25,Commercial Agency,Other,0,55,0
