ward,AUSPICE,bldg_type,cwelcc_flag,TOTSPACE,subsidy
21,Non Profit Agency,Commercial Building,1,54,1
19,Non Profit Agency,Public Elementary School,1,256,1
18,Non Profit Agency,Purpose Built,1,114,1
19,Non Profit Agency,Place of Worship,1,52,1
17,Non Profit Agency,Public Elementary School,1,112,1
24,Commercial Agency,High Rise Apartment,1,73,1
17,Commercial Agency,High Rise Apartment,1,54,0
11,Non Profit Agency,Catholic Elementary (French),1,131,1
18,Non Profit Agency,Public Elementary School,1,105,1
19,Non Profit Agency,High Rise Apartment,1,65,1
12,Non Profit Agency,Public Elementary School,1,177,1
6,Non Profit Agency,Public Elementary School,1,156,1
16,Non Profit Agency,Public Elementary School,1,177,1
24,Commercial Agency,Other,1,76,1
24,Commercial Agency,Place of Worship,1,31,1
20,Commercial Agency,High Rise Apartment,1,85,1
17,Non Profit Agency,Public Elementary School,1,128,1
18,Non Profit Agency,Public Elementary School,1,146,1
20,Non Profit Agency,Purpose Built,1,72,1
10,Non Profit Agency,Public Elementary School,1,56,1
20,Non Profit Agency,Public Elementary School,1,116,1
20,Non Profit Agency,Public Elementary School,1,95,1
8,Non Profit Agency,Public Elementary School,1,113,1
20,Commercial Agency,High Rise Apartment,1,62,1
11,Non Profit Agency,Church,1,16,1
20,Non Profit Agency,Church,1,64,1
20,Non Profit Agency,Public Elementary School,1,82,1
6,Non Profit Agency,Synagogue,1,57,1
17,Non Profit Agency,Place of Worship,1,49,1
16,Non Profit Agency,Public Elementary School,1,161,1
12,Non Profit Agency,Place of Worship,1,65,1
16,Commercial Agency,High Rise Apartment,1,56,1
18,Non Profit Agency,Public Elementary School,1,110,1
6,Non Profit Agency,Office Building,1,54,1
16,Non Profit Agency,Public Elementary School,1,120,1
16,Non Profit Agency,Public Elementary School,1,78,1
8,Non Profit Agency,Public Elementary School,1,104,1
13,Non Profit Agency,Other,1,149,1
8,Non Profit Agency,Public Elementary School,1,159,1
16,Non Profit Agency,Public Elementary School,1,45,1
6,Non Profit Agency,Public Elementary School,1,166,1
10,Non Profit Agency,Public Elementary School,1,148,1
15,Non Profit Agency,Public Elementary School,1,190,1
7,Non Profit Agency,Public Elementary School,1,135,1
6,Non Profit Agency,Public Elementary School,1,87,1
17,Non Profit Agency,Public Elementary School,1,80,1
18,Non Profit Agency,Public Elementary School,1,130,1
8,Non Profit Agency,Public Elementary School,1,212,1
19,Non Profit Agency,Public Elementary School,1,166,1
10,Non Profit Agency,Public Elementary School,1,121,1
